iter	Passed	Remaining
741	7293	2536
742	7304	2526
743	7316	2517
744	7330	2509
745	7343	2500
746	7357	2491
747	7372	2483
748	7385	2475
749	7399	2466
750	7413	2457
751	7426	2449
752	7439	2440
753	7450	2430
754	7461	2421
755	7471	2411
756	7481	2401
757	7491	2391
758	7501	2382
759	7511	2372
760	7521	2362
761	7531	2352
762	7541	2342
763	7554	2333
764	7566	2324
765	7579	2315
766	7596	2307
767	7610	2298
768	7625	2290
769	7639	2281
770	7652	2273
771	7666	2264
772	7679	2255
773	7701	2248
774	7726	2243
775	7740	2234
776	7753	2225
777	7766	2216
778	7780	2207
779	7793	2198
780	7806	2189
781	7820	2180
782	7835	2171
783	7850	2162
784	7863	2153
785	7878	2144
786	7893	2136
787	7906	2127
788	7919	2117
789	7932	2108
790	7946	2099
791	7959	2090
792	7973	2081
793	7987	2072
794	7998	2062
795	8008	2052
796	8020	2042
797	8031	2032
798	8041	2022
799	8050	2012
800	8060	2002
801	8070	1992
802	8080	1982
803	8090	1972
804	8100	1962
805	8113	1952
806	8126	1943
807	8137	1933
808	8150	1924
809	8161	1914
810	8173	1904
811	8183	1894
812	8193	1884
813	8203	1874
814	8213	1864
815	8224	1854
816	8233	1844
817	8243	1834
818	8255	1824
819	8265	1814
820	8275	1804
821	8285	1794
822	8295	1784
823	8305	1774
824	8316	1764
825	8329	1754
826	8339	1744
827	8352	1735
828	8365	1725
829	8374	1715
830	8388	1705
831	8402	1696
832	8412	1686
833	8422	1676
834	8436	1667
835	8450	1657
836	8461	1647
837	8475	1638
838	8487	1628
839	8501	1619
840	8512	1609
841	8522	1599
842	8533	1589
843	8545	1579
844	8560	1570
845	8570	1560
846	8580	1549
847	8591	1540
848	8601	1529
849	8614	1520
850	8626	1510
851	8636	1500
852	8648	1490
853	8659	1480
854	8669	1470
855	8682	1460
856	8693	1450
857	8703	1440
858	8713	1430
859	8723	1420
860	8734	1410
861	8744	1399
862	8754	1389
863	8764	1379
864	8775	1369
865	8784	1359
866	8796	1349
867	8807	1339
868	8817	1329
869	8827	1319
870	8837	1308
871	8847	1298
872	8857	1288
873	8867	1278
874	8877	1268
875	8886	1257
876	8896	1247
877	8906	1237
878	8916	1227
879	8925	1217
880	8935	1206
881	8945	1196
882	8955	1186
883	8966	1176
884	8976	1166
885	8986	1156
886	8996	1146
887	9006	1135
888	9019	1126
889	9029	1116
890	9039	1105
891	9049	1095
892	9059	1085
893	9070	1075
894	9080	1065
895	9091	1055
896	9101	1045
897	9111	1034
898	9120	1024
899	9130	1014
900	9140	1004
901	9154	994
902	9164	984
903	9174	974
904	9184	964
905	9194	954
906	9205	943
907	9215	933
908	9228	923
909	9241	913
910	9255	904
911	9269	894
912	9281	884
913	9295	874
914	9311	865
915	9326	855
916	9340	845
917	9355	835
918	9370	825
919	9383	815
920	9397	806
921	9410	796
922	9421	786
923	9432	775
924	9442	765
925	9453	755
926	9465	745
927	9475	735
928	9485	724
929	9495	714
930	9505	704
931	9516	694
932	9526	684
933	9537	673
934	9547	663
935	9560	653
936	9574	643
937	9587	633
938	9601	623
939	9618	613
940	9633	604
941	9647	594
942	9662	584
943	9675	573
944	9689	563
945	9702	553
946	9716	543
947	9731	533
948	9742	523
949	9752	513
950	9763	503
951	9776	492
952	9789	482
953	9803	472
954	9816	462
955	9829	452
956	9843	442
957	9856	432
958	9870	422
959	9885	411
960	9899	401
961	9912	391
962	9927	381
963	9941	371
964	9959	361
965	9972	351
966	9986	340
967	9998	330
968	10012	320
969	10025	310
970	10039	299
971	10052	289
972	10067	279
973	10080	269
974	10094	258
975	10105	248
976	10117	238
977	10128	227
978	10140	217
979	10150	207
980	10161	196
981	10171	186
982	10182	176
983	10193	165
984	10203	155
985	10216	145
986	10227	134
987	10238	124
988	10248	113
989	10258	103
990	10268	93
991	10278	82
992	10288	72
993	10298	62
994	10309	51
995	10318	41
996	10328	31
997	10338	20
998	10351	10
999	10361	0
